Project,Owner,Client,Medium,Tags
Performance platform,GDS,GOV.UK,Digital,Information design
Sprint events,GDS,GDS,Print,Branding
Metro Vancouver Transit maps,Applied,Translink,Print,"Information design, Mapping"
Millennium Line station signage,Applied,Translink,Print,Information design
Toronto Bus Maps,Applied,Metrolinx,Print,"Information design, Mapping"
Route map,Applied,Metrolinx,Print,"Information design, Mapping"
Gay leeds map,Applied,,Print,"Information design, Mapping"
Walk ipswich folded map,Applied,,Print,"Information design, Mapping"
QEOP Strategy,Applied,,Print,"Mapping, Signage"
Heathrow mapping,Applied,,"Print, Digital","Information design, Mapping"
Heathrow shopping maps,Applied,,,"Mapping, Signage"
UBC lectern maps,Applied,,Print,Information design
Cycle line,Personal,–,Print,"Information design, Mapping, Signage"
St Petrocs Society re-brand,Personal,–,Print,"Information design, Branding"
